lgID,yearID,Total_Runs,Total_Outs,ERA,DH
NL,2006,12558,69411,4.884902969270001,No
AL,2007,10934,60535,4.876815065664492,Yes
NL,2007,12388,69742,4.795904906655961,No
NL,2008,11976,69406,4.658847938218598,No
AL,2008,10609,60667,4.721561969439729,Yes
AL,2009,10793,60520,4.815118968935889,Yes
NL,2009,11626,69296,4.529871854075272,No
NL,2010,11281,69265,4.397415722226232,No
AL,2010,10027,60651,4.463718652619083,Yes
AL,2011,10036,60850,4.453114215283484,Yes
NL,2011,10772,69732,4.1708828084667005,No
AL,2012,9980,60855,4.427902390929258,Yes
NL,2012,11037,69211,4.305659504991981,No
NL,2013,9819,65542,4.044933020048213,No
AL,2013,10436,65418,4.307254883976887,Yes
NL,2014,9709,65445,4.005546642218657,No
AL,2014,10052,65396,4.1501620894244295,Yes
NL,2015,10225,65140,4.238179306109917,No
AL,2015,10422,65083,4.323617534532827,Yes
NL,2016,10888,65086,4.516731708816028,No
AL,2016,10856,64833,4.52103095645736,Yes
NL,2017,11245,64879,4.679711462877048,No
AL,2017,11337,64892,4.71705294951612,Yes
AL,2018,11075,64982,4.60165892093195,Yes
NL,2018,10555,65485,4.3519126517523095,No
NL,2019,11449,65198,4.74129574526826,No
AL,2019,12018,65072,4.986568723875092,Yes
AL,2020,4159,23338,4.8115948238923645,Yes
NL,2020,4185,23068,4.898344026356858,No
AL,2021,11141,64048,4.6965869347989,Yes
NL,2021,10869,63797,4.599949840901609,No
NL,2022,10602,64550,4.434608830364058,Yes
AL,2022,10215,64676,4.264410291298163,Yes
NL,2023,11322,64529,4.737311906274699,Yes
AL,2023,11110,64733,4.633957950349899,Yes
